title,prefix,subtitle,full_title,key_note,description,pages,volume,publisher,series
Aryan and Non-Aryan in India,,,Aryan and Non-Aryan in India,,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">The history and mechanisms of the convergence of ancient Aryan and non-Aryan cultures has been a subject of continuing fascination in many fields of Indology. The papers in this volume are the fruit of a conference on that topic held in December 1976 at the University of Michigan, Ann Arbor, under the auspices of the Center for South and Southeast Asian Studies. The expressed object of the conference was to examine the latest findings from a variety of disciplines as they relate to the formation and integration of a unified Indian culture from many disparate cultural and ethnic elements. [vii]</p> <p class=""Toreview"">[Insert author bio]</p>",327,14,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Austronesian Studies,,Papers from the Second Eastern Conference on Austronesian Languages,Austronesian Studies: Papers from the Second Eastern Conference on Austronesian Languages,"<p class=""Keynote"">Twenty-four papers explore historical and synchronic phonology, syntax and discourse structures from a range of perspectives, anthropological to literary</p>","<p class=""Bkdesc"">The Second Eastern Conference on Austronesian Languages was held in Ann Arbor on May 4-5, 1976. Twelve papers deal with questions of syntax. Although some describe particular aspects of the syntactic system of individual languages, and others deal with syntactic typology or evolution of Austronesian in general, they all address their respective subject matter with reference to general syntactic theory and analytic perspectives and procedures. Other papers, including C. Loring Brace's article, focus on Proto-Austronesian. The papers on phonology present new data or new interpretations of data that shed new light on questions of subgrouping. The last two papers deal with the analysis of discourse as such, echoing other papers in the volume that take into account certain aspects of discourse analysis to shed light on the dynamics of syntax and syntactic evolution. [x-xi]</p> <p class=""Toreview"">[Insert author bio]</p>",316,15,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Hindi Structures,,"Intermediate Level, with Drills, Exercises, and Key","Hindi Structures: Intermediate Level, with Drills, Exercises, and Key","<p class=""Keynote"">A conceptual approach to the problem of developing proficiency in the use of Hindi syntactic structures.</p>","<p class=""Bkdesc"">Intended for use as a modular element in second-year Hindi courses, with detailed treatment of traditionally neglected subjects: derived transitives, causatives, antitransitives, compound verbs, the conjunctive, the counter-to-fact, and others. Familiarity with linguistics is not assumed.</p> <p class=""Toreview"">[Insert author bio]</p>",336,16,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Kawi Lexicon,A,,A Kawi Lexicon,"<p class=""Keynote"">An indispensable aid for students of Old Javanese</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">A Kawi Lexicon </i>provides a Kawi to English wordlist based on Dr. Wojowasito's <i style=""mso-bidi-font-style:normal"">Kamus Kawi (Jawa Kuno) – Indonesia</i>. Thirteen thousand entries, over half deriving form Sanskrit, are included in this 629-page volume.</p> <p class=""Toreview"">[Insert author bio]</p>",636,17,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
"Tankas from the Koelz Collection, Museum of Anthropology, University of Michigan",,,"Tankas from the Koelz Collection, Museum of Anthropology, University of Michigan",,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">This exhibition catalog was prepared to serve as a background for a modest exhibition of some of the tankas and other objects from the Koelz Collection at the Musuem of Art, Alumni Memorial Hall, University of Michigan, Ann Arbor, from October 24 to December 24, 1980. [xi]</p> <p class=""Bkdesc"">The largest number of tankas in the Koelz Collectoin comes from Ladakh, seventeen having been acquired at Likir Monastery alone. However, there are also tankas from Sangskar, Spiti, and Kunawar in the collection. Ladakh and Sangskar are now within the present state of Jammu and Kashmir, and Spiti and Kunawar are part of the Himachal Pradesh, but all these districts were at one time under the rule of the Ladakhi kings. The Ladakhi language is a form of Tibetan, and, due to the Tibetan heritage of the Ladakhi people, this area is sometimes known as Indian Tibet. [3]</p> <p class=""Toreview"">[Insert author bio]</p>",109,18,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Padaeng Chronicle and the Jengtung State Chronicle Translated,The,N/A,The Padaeng Chronicle and the Jengtung State Chronicle Translated,"Two chronicles of Kengtung (Jengtung), a Shan state in eastern Burma, translated and fully annotated by a noted scholar of Khün and Shan culture.","The Padaeng Chronicle is a document tracing the history of the Red Forest Monastery of Kengtung. The Jengtung State Chronicle tells the story of the state and its rulers from the earliest legends of its founding through the 1930s. Photos of the original text of the Padaeng Chronicle (in Khün script) accompany the translation. Includes charts of Khün script and the Shan calendric system, description of monastery life. Foreword by A.B. Griswold. Introduction, notes, references.",324,19,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Lives of the Buddha in the Art and Literature of Asia,The,,The Lives of the Buddha in the Art and Literature of Asia,"<p class=""Keynote"">Twenty-seven Jataka tales and Life-of-the-Buddha episodes are compared with depictions of these stories in Asian art.</p>","<p class=""Bkdesc"">This study will relate various stories and episodes of the Buddha's many incarnations, including his final one, as they appear in the literature and art of Asia. On the one hand, they represent a vital interest in the Buddha as a teacher and example of righteous behavior, which is central to Hinayana, or Theravada [Doctrine of the elders], Buddhism. On the other hand, the miraculous content of so many of these stories reveals an aspect of the other main branch of Buddhism, Mahayana [The great vehicle] Buddhism. [2]</p> <p class=""Bkdesc"">Literary excerpts (in English) are accompanied by black-and-white illustrations from South, Southeast, and East Asia. Introduction and commentary by the author. </p> <p class=""Toreview"">[Insert author bio]</p>",239,20,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Organization for Change,,A Systems Analysis of Family Planning in Rural India,Organization for Change: A Systems Analysis of Family Planning in Rural India,"<p class=""Keynote"">Comprehensively examines implementation of a family planning program during the early 1970s in Uttar Pradesh, India</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">Organization for Change </i>examines family planning in rural India through a series of relationships between agencies, the rural population, and the wider social and political environment, using quantitative and qualitative data collected at the individual household, village, rural primary health center, district, and state levels.</p> <p class=""Toreview"">[Insert author bio]</p>",468,21,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Philippine Economy and the United States,The,Studies in Past and Present Interactions,The Philippine Economy and the United States: Studies in Past and Present Interactions,"<p class=""Keynote"">Seven studies explore Philippine-American business and economic relations form the ""days of empire"" to the present.</p>","<p class=""Bkdesc"">A series of papers presented in a seminar at the University of Michigan from 1977 to 1979, this edited volume addresses critical questions that first arose between American colonial rulers and emerging Filipino political/economic elites, and still confront American businessmen and Filipino economic planners today.</p> <p class=""Bkdesc"">Readers of the volume will be aware of contradictions, of debate, even of fundamentally irreconcilable views. While none of the authors regards the American connection as totally advantageous to the Philippine economy, there is considerable difference between those who regard it as generally significant and malign and those who suggest that it was less consequential than has been believed and more neutral, or even beneficial, in its effects. There are, of course, important policy implications in this difference. [xi-xii]</p> <p class=""Toreview"">[Insert author bio]</p>",224,22,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Karawitan,,"Source Readings in Javanese Gamelan and Vocal Music, Volume 1","Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 1","<p class=""Keynote"">An important collection of writings on Javanese gamelan and vocal music.</p>","<p class=""Bkdesc"">The twentieth century has spawned a great interest in Indonesian music, and now books, articles, and manuscripts can be found that expound exclusively about karawitan (the combined vocal and instrumental music of the gamelan). Scholar Judith Becker has culled several key sources on karawitan into three volumes and has translated them for the benefit of the Western student of the gamelan tradition.</p> <p class=""Bkdesc"">The texts in her collection were written over a forty-five-year time period (ca 1930–1975) and include articles by Martopangrawit, Sumarsam, Sastrapustaka, Gitosaprodjo, Sindoesawarno, Poerbapangrawit, Probohardjono, Warsadiningrat, Purbodiningrat, Poerbatjaraka, and Paku Buwana X. The final volume also contains a glossary of technical terms, an appendix of the Javanese cipher notations (titilaras kepatihan), a biographical listing, and an index to the musical pieces (Gendhing).</p>",541,23,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Philippine Society and the Individual,,"Selected Essays of Frank Lynch, 1949–1976","Philippine Society and the Individual: Selected Essays of Frank Lynch, 1949–1976","<p class=""Keynote"">Seventeen articles by the late Frank Lynch, S.J., well-known anthropologist and pioneer in Philippine sociology.</p>","<p class=""Bkdesc"">These wide-ranging studies broadly map Lynch's interest in Philippine society and cultures, and the individual's role. Editor's essays assess his contribution to anthropological issues and provide personal insight into Lynch's life and work.</p> <p class=""Toreview"">[Insert author bio]</p>",477,24,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Papers from a Conference on Thai Studies in Honor of William J. Gedney,,,Papers from a Conference on Thai Studies in Honor of William J. Gedney,,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">The tremendous amount of effort and time William J. Gedney has put into his teaching and research often is not readily apparent, except perhaps to his students, with whom he has always shared his knowledge and insight most generously. The influence he has had on both his students and his fellow scholars, and the high regard that they have for him, saw reflection in May of 1980 when the Center for South and Southeast Asian Studies of the University of Michigan sponsored conference on Thai studies in to honor him on the occasion of his retirement from active teaching. More than two dozen scholars, many former students of Professor Gedney, participated actively in the conference, and these presentations form the basis of this collection.</p> <p class=""Toreview"">[Insert author bio]</p>",276,25,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Legitimacy and Symbols,,The South Asian Writings of F. W. Buckler,Legitimacy and Symbols: The South Asian Writings of F. W. Buckler,https://mirlyn.lib.umich.edu/Record/000611556,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">What is it that makes these little-known writings of a forgotten historian so electrifying? First, I think, is the sense they convey of a highly daring mind, in which intellectual ability is coupled with great unconventionality. At the very outset, in the lead article, Buckler sweeps away a century and a half of Indian historiography ""represented in Europe almost entirely by the propaganda of the Trading Companies, which approached Indian politics and states under the influence of the Colonial System of Western Expansion."" He proposes the radical revision of current theories, replacing them with one centered upon a reading of Mughal political culture which the Company misunderstood, manipulated, and deliberately misrepresented to Britons back home and to future generations. </p>",193,26,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Cultural Values and Human Ecology in Southeast Asia,,,Cultural Values and Human Ecology in Southeast Asia,"<p class=""Keynote"">Gathers seventeen diverse perspectives on human ecology in Southeast Asia with a conceptual framework—cultural values—designed to bridge social and natural science paradigms</p>","<p class=""Bkdesc"">Ecologists have long based their conceptual frameworks in the natural sciences. Recently, however, they have acknowledged that ecosystems cannot be understood without taking into account human interventions that may have taken place for thousands of years. And for their part, social scientists have recognized that human behavior must be understood in the environment in which it is acted out. Researchers have thus begun to develop the area of ""human ecology."" Yet human ecology needs suitable conceptual frameworks to tie the human and natural together.</p> <p class=""Bkdesc"">In response, <i style=""mso-bidi-font-style:normal"">Cultural Values and Human Ecology</i> uses the framework of cultural values to collect a set of highly diverse contributions to the field of human ecology. Values represent an important and essential aspect of the intellectual organization of a society, integrated into and ordained by the over-arching cosmological system, and constituting the meaningful basis for action, in terms of concreteness and abstraction of content as well as mutability and permanence. Because of this balance, values lend themselves to the kinds of analyses of ecological relationships conducted here, those that demand a reasonable amount of specificity as well as historical stability.</p> <p class=""Bkdesc"">The contributions to <i style=""mso-bidi-font-style: normal"">Cultural Values and Human Ecology </i>are exceedingly diverse. They include abstract theoretical discussions and specific case studies, ranging across the landscape of Southeast Asia from the islands to southern China. They deal with hunting-gathering populations as well as peasants operating within contemporary nation-states, and they are the work of natural scientists, social scientists, and humanists of Western and Asian origin. Diversity in the backgrounds of the authors contributes most to the varied approaches to the theme of this volume, because differences in cultural background and academic tradition will lead to different research interests and to differences in the empirical approaches chosen to pursue given problems.</p> <p class=""Toreview"">[Insert author bio]</p>",427,27,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
"Men to Bombay, Women at Home",,"Urban Influence on Sugao Village, Deccan Maharashtra, India, 1942–1982","Men to Bombay, Women at Home: Urban Influence on Sugao Village, Deccan Maharashtra, India, 1942–1982","<p class=""Keynote"">Comprehensive study of a village in Deccan Maharashtra, its people, and its interactions with the city of Bombay during the last four development decades in India, from both a planning and a human point of view.</p>","<p class=""Bkdesc"">With maps, diagrams, and photos. Excellent supplementary text for courses dealing with development, rural society, planning, rural-urban migrations, or women's issues. </p>",345,28,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Selected Papers on Comparative Tai Studies,,,Selected Papers on Comparative Tai Studies,"<p class=""Keynote"">Twelve papers on comparative Tai studies, most previously unpublished, make up this collection of articles by the renowned linguist William J. Gedney</p>","<p class=""Bkdesc"">The publication of this volume of selected writings of William J. Gedney is a welcome event in Tai linguistics. It marks one of the high points in the varied career of a distinguished teacher, scholar, university administrator, and office holder in professional organizations. </p> <p class=""Toreview"">[Insert author bio]</p>",550,29,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Karawitan,,"Source Readings in Javanese Gamelan and Vocal Music, Volume 2","Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 2","<p class=""Keynote"">An important collection of writings on Javanese gamelan and vocal music.</p>","<p class=""Bkdesc"">The twentieth century has spawned a great interest in Indonesian music, and now books, articles, and manuscripts can be found that expound exclusively about karawitan (the combined vocal and instrumental music of the gamelan). Scholar Judith Becker has culled several key sources on karawitan into three volumes and has translated them for the benefit of the Western student of the gamelan tradition.</p> <p class=""Bkdesc"">The texts in her collection were written over a forty-five-year time period (ca 1930–1975) and include articles by Martopangrawit, Sumarsam, Sastrapustaka, Gitosaprodjo, Sindoesawarno, Poerbapangrawit, Probohardjono, Warsadiningrat, Purbodiningrat, Poerbatjaraka, and Paku Buwana X. The final volume also contains a glossary of technical terms, an appendix of the Javanese cipher notations (titilaras kepatihan), a biographical listing, and an index to the musical pieces (Gendhing).</p>",424,30,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Karawitan,,"Source Readings in Javanese Gamelan and Vocal Music, Volume 3","Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 3","<p class=""Keynote"">An important collection of writings on Javanese gamelan and vocal music.</p>","<p class=""Bkdesc"">The twentieth century has spawned a great interest in Indonesian music, and now books, articles, and manuscripts can be found that expound exclusively about karawitan (the combined vocal and instrumental music of the gamelan). Scholar Judith Becker has culled several key sources on karawitan into three volumes and has translated them for the benefit of the Western student of the gamelan tradition.</p> <p class=""Bkdesc"">The texts in her collection were written over a forty-five-year time period (ca 1930–1975) and include articles by Martopangrawit, Sumarsam, Sastrapustaka, Gitosaprodjo, Sindoesawarno, Poerbapangrawit, Probohardjono, Warsadiningrat, Purbodiningrat, Poerbatjaraka, and Paku Buwana X. The final volume also contains a glossary of technical terms, an appendix of the Javanese cipher notations (titilaras kepatihan), a biographical listing, and an index to the musical pieces (Gendhing).</p>",512,31,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Ethnic Diversity and the Control of Natural Resources in Southeast Asia,,,Ethnic Diversity and the Control of Natural Resources in Southeast Asia,"<p class=""Keynote"">Eleven papers explore the ecological ramifications of ethnicity in Southeast Asia.</p>","<p class=""Bkdesc"">The authors consider the ways in which the high degree of ethnic diversity within the region is related to the nature of tropical Asian environments, on the one hand, and the nature of Southeast Asian political systems and the ways in which they manipulate natural resources, on the other. Companion volume to <i style=""mso-bidi-font-style:normal"">Cultural Values and Human Ecology in Southeast Asia </i>(Michigan Papers no. 27).</p>",240,32,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Writing on the Tongue,,,Writing on the Tongue,"<p class=""Keynote"">Six studies examine various forms of literature in Java, Bali, and Indonesia as a whole.</p>","<p class=""Bkdesc"">Included are original texts and the author's translations, supplemented with detailed commentaries on the works themselves and the act (or art) of translation in the Indonesian context. </p> <p class=""Bkdesc"">A valuable addition to the study of Asian literature from the standpoint of the translations themselves, the provision of texts in the original languages, and the discussions of Indonesian literary forms by leading scholars in the field. Recommended for individual scholars and libraries, and for graduate and undergraduate courses in nonwestern literature. Published under the sponsorship of the American Council of Learned Societies and the Social Science Research Council.</p>",328,33,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
"Burmese Polity, 1752–1819",The,"Politics, Administration, and Social Organization in the Early Kon-baung Period","The Burmese Polity, 1752–1819: Politics, Administration, and Social Organization in the Early Kon-baung Period","<p class=""Keynote"">The first major historical study of Burmese society on the eve of colonial intervention</p>","<p class=""Bkdesc"">Examining both central and local institutions of crown control and the three primary elite groups—officials, monks, and the extended royal lineage—Koenig analyzes the ensuing contest over control of social resources and the throne. </p> <p class=""Bkdesc"">Extensive use of sit-ans (local land rolls) and other contemporary sources provides the basis for a detailed assessment of how that contest was reflected in actual control of resources at the local level. The author also offers a perceptive treatment of the institution of kingship as a reflection of Theravada Buddhist ideals and in terms of the dictates of customary laws of succession, which resulted in the emergence of ministerial factions and princely intrigue. </p> <p class=""Bkdesc"">This study is valuable both as a source of detailed information for the Southeast Asia specialist and as a textual synthesis of the broad outlines of Burmese history during the Kon-baung period.</p> <p class=""Toreview"">[Insert author bio]</p>",352,34,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Boundaries of the Text,,Epic Performances in South and Southeast Asia,Boundaries of the Text: Epic Performances in South and Southeast Asia,"<p class=""Keynote"">Eight essays examine South and Southeast Asian epic performance traditions of the Mahabharata and Ramayana, specifically, the relationship between performance and the written record of the epic traditions</p>","<p class=""Bkdesc"">By analyzing specific performance traditions, the essays address questions of what happens to written texts when they are preformed and how performance traditions are affected when they interact with written texts. The dynamics of this interaction are of particular interest in South and Southeast Asia where oral performance and written traditions share a long, interwoven history. Their continuing, complex interactions challenge earlier studies of orality and literacy, which assumed a clear distinction between the two.</p> <p class=""Bkdesc"">The essays taken together also address how conceptions of the epics and their textual boundaries may differ between the two regions, where their status as ritual and religious texts varies. Perhaps now, more than ever, the boundaries of epic traditions are in a state of flux, contracting or expanding as South and Southeast Asian societies respond to increasing access to modern education, print technology, and electronic media.</p> <p class=""Toreview"">[Insert author bio]</p>",171,35,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Exemplar of Americanism,,The Philippine Career of Dean C. Worcester,Exemplar of Americanism: The Philippine Career of Dean C. Worcester,"<p class=""Keynote"">In this volume, the first comprehensive study of Worcester's Philippine sojourn, Rodney Sullivan has drawn upon a wealth of new source material, examining not only Worcester's stormy career ‒ and the events, policies, and attitudes he so clearly influenced – but exploring the paradoxes of the man, his era, and the relationship between two nations. </p>","<p class=""Bkdesc"">Dean C. Worcester first visited the Philippines as a junior member of a scientific expedition in 1887. He died there, a wealthy businessman, in 1924. One of only a handful of Americans with first-hand experience in the archipelago at the onset of the Spanish-American War, he was appointed to the First Philippine Commission, charged with the civil administration of the new American colony. He thus embarked upon a long and controversial Philippine career, embracing in time the varied roles of government official, scientist, writer, propagandist, and entrepreneur.</p> <p class=""Bkdesc"">In many ways Worcester typified the American colonial mission. He was talented, pragmatic, tireless, unquestioning, and ruthless in the pursuit of what he considered right. Heralded for nearly two decades as America's foremost expert on the Philippines, he was scathingly critical of Filipino society and its values, unable to comprehend the validity of a culture that did not conform to an American ideal. Described by more than one of his countrymen as an ""exemplar"" of Americanism, a colonial statesman making ""lasting contributions to mankind,"" from the Filipino perspective he represented merely the ""immovable column"" of a ""hypocritical foreign administration.""</p> <p class=""Toreview"">[Insert author bio]</p>",439,36,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Paninian Studies,,Professor S. D. Joshi Felicitation Volume,Paninian Studies: Professor S. D. Joshi Felicitation Volume,"<p class=""Keynote"">This volumes contributions represent state-of-the-art research in Sanskrit linguistics in general, and in Paninian linguistics in particular.</p>","<p class=""Bkdesc"">Panini's grammar is the oldest surviving grammar of Sanskrit, dating back to the fifth century B.C. In its completeness of coverage of the linguistics facts, and its theoretical and analytical sophistication, Panini's grammar is surprisingly modern. It has long provided inspiration for many ideas in modern linguistics, and continues to attract scholars' attention in the fields of Sanskrit and linguistics.</p> <p class=""Bkdesc"">This volume is dedicated to Professor S. D. Joshi, a stalwart scholar of Paninian grammar. Its contributions represent state-of-the-art research in Sanskrit linguistics in general, and in Paninian linguistics in particular. </p> <p class=""Bkdesc"">The authors, all scholors of international acclaim and students and friends of Professor Joshi, include Ashok Aklujkar, Pandit V. B. Bhagwat, Saroja Bhate, Gopikamohan Bhattacharya, Johannes Bronkhorst, George Cardona, Achyutananda Dash, Madhav M. Deshpande, Peter Edwin Hook, Daniel H. H. Ingalls, V. N. Jha, Dinabandhu Kar, Paul Kiparsky, Bimal Krishna Matilal, G. B. Palsule, K. Kunjunni Raja, and J. A. F. Roodbergen. Taken together, their contributions encompass the wide range of interests and specializations within the field of Paninian studies. </p>",343,37,UM Center for South Asian Studies,Michigan Papers on South and Southeast Asia
Yay Language,The,"Glossary, Texts, and Translations","The Yay Language: Glossary, Texts, and Translations","<p class=""Keynote"">Gedney's work on Yay, published in this volume, consists of a lengthy glossary and a collection of folktales and traditional songs.</p>","<p class=""Bkdesc"">In the 1960s and 1970s, William J. Gedney, the preeminent authority on Tai languages and literatures, conducted extensive investigations into a large number of Tai dialects. Employing careful and exhaustive elicitation techniques, he compiled glossaries, texts, and cultural notes from hitherto undescribed, or poorly described, dialects and languages. One of the most extensive is Yay, a language belonging to the Northern Branch of the Tai family, spoken in northern Vietnam and southern China.</p> <p class=""Bkdesc"">Gedney's work on Yay, published in this volume, consists of a lengthy glossary and a collection of folktales and traditional songs. The latter texts are reproduced with interlinear glosses and free translations. The volume will be of interest to linguists, folklorists, anthropologists, and specialists in Southeast Asian or comparative linguistics.</p>",795,38,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Tai Dialect of Lungming,The,"Glossary, Texts, and Translations","The Tai Dialect of Lungming: Glossary, Texts, and Translations","<p class=""Keynote"">Represents one of the most complete examinations yet undertaken of a dialect belonging to the Central Branch of the Tai language family</p>","<p class=""Bkdesc"">Another dialect exhaustively studied by William J. Gedney is Lungming, a Tai dialect spoken in and around the town of Lungming, in Kwangsi, China. In addition to compiling the massive glossary published in this volume, Gedney elicited several thousand Lungming sentences. Also reproduced and translated, these serve to illustrate syntactic patterns and vocabulary items. Combined in <i style=""mso-bidi-font-style:normal"">The Tai Dialect of Lungming</i>, these data represent one of the most complete examinations yet undertaken of a dialect belonging to the Central Branch of the Tai language family. As with Gedney's The Yay Language, these materials will be of particular value to linguists, comparativists, folklorists, and anthropologists.</p>",1232,39,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
"Independence and Democracy in Burma, 1945–1952",,The Turbulent Years,"Independence and Democracy in Burma, 1945–1952: The Turbulent Years","<p class=""Keynote"">The memoir of Balwant Singh, a civil servant under both the British and independent governments of Burma, provides a dramatic account of the turbulent years immediately following World War II.</p>","<p class=""Bkdesc"">From the perspective of a District Officer and later Deputy Commissioner in rural Burma, Singh details both the changes and continuities in local administration which accompanied independence. This period of violent maneuvering between the Communists, Karen, Chin, Kachin, People's Volunteer Organizations, and army and local police units brought Burma to the verge of fragmentation. When the town of Yamethin was cut off from government support in 1949, Singh cleverly used his ties within the community to unite the people. Altogether, the memoir documents how personal relationships and loyalties between individuals were frequently key factors affecting the local balance of power. This graphic and lively eye-witness account reveals how the major political events discussed in standard histories actually unfolded away from the centers of power.</p> <p class=""Toreview"">[Insert author bio]</p>",180,40,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Saek Language,The,"Glossary, Texts, and Translations","The Saek Language: Glossary, Texts, and Translations",,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">Little research had been conducted on Saek, a Tai-family language spoken by the Saek people of Laos and Thailand, until the preeminent linguist William J. Gedney began his exhaustive study of it in the 1960s. Never before published, Gedney's field data on Saek are collected here, including a 550-page glossary and 450 pages of Saek oral literature presented in free translation and linear glosses. The volume concludes with two important, previously unpublished Gedney papers, ""Saek Final-L: Archaism or Innovation?"" and ""The Twelve Year Names in Saek.""</p> <p class=""Bkdesc"">While William J. Gedney's ""The Saek Language"" offers a particularly rich vein of primary data to specialists in comparative Tai, its texts—ranging from oral histories and descriptions of Saek life to folktales—are also of value to historians, anthropologists, and folklorists. Introductions contextualize the linguistic data for more general readers.</p> <p class=""Toreview"">[Insert author bio]</p>",989,41,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Southwestern Tai Dialects,,"Glossaries, Texts, and Translations","Southwestern Tai Dialects: Glossaries, Texts, and Translations",https://mirlyn.lib.umich.edu/Record/003048280,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">In 1964 and 1965, William J. Gedney first began his intensive and meticulous study of the Tai language family, concentrating primarily upon the Southwestern Branch of the family. Working in Thailand, Laos, Hong Kong, and Taiwan, he recorded word lists, folktales, stories, and songs. From this early work come the data in this volume, including White Tai, Red Tai, Black Tai, Tai Nuea, Hsi Paw Shan, Chinese Shan, Khuen, and Yong. As with the others in this series, this volume will be of interest to linguists, folklorists, and anthropologists.</p>",1118,42,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Central Tai Dialects,,"Glossaries, Texts, and Translations","Central Tai Dialects: Glossaries, Texts, and Translations",https://mirlyn.lib.umich.edu/Record/003049447,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">Scholars, following Fang-kuei Li, generally divide the Tai languages into three branches, the Northern, the Central, and the Southwestern. This classification has been widely accepted and the three groups are roughly comparable in size and are distinguished by marked differences. William J. Gedney, however, believes that it is a mistake to infer a simultaneous three-way branching of the Tai linguistic family tree. . . . Nevertheless, Gedney concurs that Li's three-way grouping, while perhaps not an accurate reflectoin of the real genetic picture, remains useful for practical purposes and is therefore followed in this volume. [xiv-xv]</p>",970,43,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Lue Language,The,"Glossaries, Texts and Translations","The Lue Language: Glossaries, Texts and Translations",https://mirlyn.lib.umich.edu/Record/003136051,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">During the late 1960s, William J. Gedney completed an exhaustive study of Lue, a Tai language spoken in northern Thailand, parts of Burma, and the Sipsongpanna region of Yunnan in southern China. Using several informants, including the former ruling prince of Sipsongpanna, Gedney compiled a massive glossary of words, phrases, sentences, proverbs, and song fragments. In addition, he elicited three lengthy texts dealing with the birth of the Buddha. This volume presents all of these data along with an introduction.</p>",1355,44,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Tai Dialect Studies,,"Glossaries, Texts, and Translations","Tai Dialect Studies: Glossaries, Texts, and Translations",https://mirlyn.lib.umich.edu/Record/003564304,"<p class=""Toreview"">[Insert keynote]</p> <p class=""Bkdesc"">In 1964, William J. Gedney began his intensive and meticulous study of the Thai language family. Initially working on the Southwestern Branch and then moving on to the Central Branch of the family, Gedney worked in Thailand, Laos, and Hong Kong, recording wordlists, folktales, and songs. All of these early data can be found in this volume, including the dialects of Chieng Mai, Nakhorn Phanom, Nyo, Vientiane, Phu Thai, Roi-Et, Loei, Ko Samuy, and Ubon. Also included are the little studied Central Tai dialects found in northern Vietnam and southern China from such sites as Ha Giang, Po Muc, Lang Soen, Bac Va, and Yen Binh. This volume is the last in a series of seven that documents Gedney's work on the Tai language family.</p>",1300,45,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
Thai and Indic Literary Studies,,,Thai and Indic Literary Studies,"<p class=""Keynote"">Gedney discusses Thai Riddles, problems in translating Thai poetry, and historical development and Sanskrit influences in Thai verse forms</p>","<p class=""Bkdesc"">For most of his career Professor William J. Gedney has devoted his scholarly research to an in depth exploration and recording of Tai languages and dialects. These endeavors have resulted in numerous scholarly papers and seven lengthy volumes devoted to Tai languages and dialects. Models of clarity and precision, Gedney's studies have helped to establish the field of historical comparative Tai studies. What is not so well known is his contribution to folklore, translation, and literature. This volume, William J. Gedney's Thai and Indic Literary Studies, remedies that situation. In this volume, Gedney discusses Thai Riddles, problems in translating Thai poetry, and historical development and Sanskrit influences in Thai verse forms. The papers in this volume with their insights and new interpretations will undoubtedly contribute to a better understanding and appreciation of Thai literature and its history. </p>",155,46,UM Center for Southeast Asian Studies,Michigan Papers on South and Southeast Asia
